날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2023-01-11","깍두기(09)","15.2kcal","계란말이","90kcal","짜사이무침(05)(06)","56.02kcal","","","2099.69kcal"
"2023-01-11","우유(백색우유(200ML,연간))(02)","122kcal","배추김치","0kcal","배추김치(2)","0kcal","","","2099.69kcal"
"2023-01-11","","","","","바나나(육사)","81.6kcal","","","2099.69kcal"
"2023-01-12","밥","359.37kcal","잡곡밥","356.06kcal","후리가케밥(05)(06)","372.18kcal","","","3058.25kcal"
"2023-01-12","쇠고기미역국(05)","4.72kcal","감자옹심이국(05)(06)","95.31kcal","미니우동(05)(06)","161.28kcal","","","3058.25kcal"
"2023-01-12","햄계란찜(01)(09)(10)","137.9kcal","닭매운찜(05)(06)(15)","331.89kcal","국물떡볶이","272.72kcal","","","3058.25kcal"
"2023-01-12","파채너비아니구이(05)(06)(10)(16)","281.8kcal","삼치순살조림(구이)(05)(06)","98.77kcal","김말이튀김(05)(06)(13)(16)","330.51kcal","","","3058.25kcal"
"2023-01-12","배추김치","0kcal","배추김치","0kcal","깍두기(09)","15.2kcal","","","3058.25kcal"
"2023-01-12","우유(백색우유(200ML,연간))(02)","122kcal","배(신고)","34.03kcal","남양유업,과수원청포도,190ml","84.51kcal","","","3058.25kcal"
"2023-01-13","밥","359.37kcal","통새우볶음밥","3.09kcal","밀쌀밥","363.74kcal","","","2283.62kcal"
"2023-01-13","황태채콩나물국(01)(05)","79.42kcal","마라탕(05)(06)(10)(15)(16)","393.72kcal","햄감자짜글이(10)(13)","294.93kcal","","","2283.62kcal"
"2023-01-13","메추리알장조림(01)(05)(06)","95.91kcal","꿔바로우(05)(06)","41.77kcal","쭈꾸미삼겹살볶음(05)(06)(10)","346.82kcal","","","2283.62kcal"
"2023-01-13","양념깻잎지무침","12kcal","단무지","7.2kcal","양배추쌈","13.28kcal","","","2283.62kcal"
"2023-01-13","배추김치","0kcal","배추김치(2)","0kcal","총각김치","0kcal","","","2283.62kcal"
"2023-01-13","우유(백색우유(200ML,연간))(02)","122kcal","농후 발효유(02)","96kcal","감귤","54.366kcal","","","2283.62kcal"
"2023-01-14","핫도그빵(06)","400.53kcal","","","라면(즉석 컵)(06)","365kcal","","","2766.20kcal"
"2023-01-14","낙지볶음밥(브런치)(02)","413.1kcal","","","","","","","2766.20kcal"
"2023-01-14","까르보떡볶이(02)","1236.73kcal","","","","","","","2766.20kcal"
"2023-01-14","키위드레싱샐러드","10.78kcal","","","","","","","2766.20kcal"
"2023-01-14","시리얼","218.06kcal","","","","","","","2766.20kcal"
"2023-01-14","배추김치(2)","0kcal","","","","","","","2766.20kcal"
"2023-01-14","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2766.20kcal"
"2023-01-15","밥","359.37kcal","밥","359.37kcal","순대국밥(05)(09)(10)","693.71kcal","","","2807.95kcal"
"2023-01-15","물만둣국(01)(05)(06)(10)(16)(18)","241.59kcal","배추된장국(05)","12.09kcal","깻잎전(05)(06)","5.04kcal","","","2807.95kcal"
"2023-01-15","쥐어채볶음","0kcal","돈육굴소스양배추볶음(05)(06)(18)","317.68kcal","아삭이고추된장무침","17.7kcal","","","2807.95kcal"
"2023-01-15","조미김","0kcal","콩나물무침(05)(06)","23.66kcal","배추김치","0kcal","","","2807.95kcal"
"2023-01-15","두부조림(05)(06)","84.14kcal","깍두기(09)","15.2kcal","웅진식품,자연은 제주감귤,180ml","180kcal","","","2807.95kcal"
"2023-01-15","배추김치","0kcal","워터젤리","376.4kcal","","","","","2807.95kcal"
"2023-01-15","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2807.95kcal"
"2023-01-16","버터간장계란밥(02)(05)(06)","826.46kcal","찰보리비빔밥(05)","420.63kcal","현미밥","381.15kcal","","","2741.38kcal"
"2023-01-16","쇠고기무국(05)","75.8kcal","부대찌개(05)(06)(10)(15)","345.25kcal","콩나물김치국(05)","19.38kcal","","","2741.38kcal"
"2023-01-16","잡채어묵조림(05)(06)","9.14kcal","쇠고기볶음고추장","33.15kcal","고구마치즈돈가스","246.72kcal","","","2741.38kcal"
"2023-01-16","무오이장아찌","3.32kcal","고등어조림(구이)(05)(06)","140.76kcal","실곤약야채무침(05)(06)","39.97kcal","","","2741.38kcal"
"2023-01-16","배추김치","0kcal","무생채(09)","22.45kcal","깍두기(09)","15.2kcal","","","2741.38kcal"
"2023-01-16","우유(백색우유(200ML,연간))(02)","122kcal","배추김치","0kcal","해태에이치티비,갈아만든배,238ml","40kcal","","","2741.38kcal"
"2023-01-16","","","커피음료","","","","","","2741.38kcal"
"2023-01-17","밥","359.37kcal","돈코츠라멘(01)(02)(05)(06)(10)","823.59kcal","스팸김치볶음밥(05)(06)(10)(13)(18)","588.06kcal","","","3585.11kcal"
"2023-01-17","순두부국(01)(05)(09)","71.8kcal","후리가케밥(소량)(05)(06)","187.21kcal","유부장국(05)(06)","35.8kcal","","","3585.11kcal"
"2023-01-17","돈육청경채볶음(05)(06)(10)","374.48kcal","치킨가라아게","49.61kcal","고기야채말이","720.25kcal","","","3585.11kcal"
"2023-01-17","오징어채볶음(01)(05)(06)(17)","53.48kcal","단무지","7.2kcal","오이고추장무침","23.63kcal","","","3585.11kcal"
"2023-01-17","배추김치","0kcal","사과(후지)","42.63kcal","가공우유(초코)(02)","126kcal","","","3585.11kcal"
"2023-01-17","우유(백색우유(200ML,연간))(02)","122kcal","","","파김치","0kcal","","","3585.11kcal"
"2023-01-18","밥","359.37kcal","전투식량","0kcal","콩나물국밥(05)(09)","399.51kcal","","","1790.88kcal"
"2023-01-18","닭고기미역국(05)(15)","76.18kcal","꼬지어묵탕(05)(06)","161.09kcal","메추리알장조림(01)(05)(06)","95.91kcal","","","1790.88kcal"
"2023-01-18","비엔나소시지야채볶음(05)(06)(10)(15)(16)","223.78kcal","배추김치","0kcal","무부추무침(05)(06)(09)","23.77kcal","","","1790.88kcal"
"2023-01-18","연두부양념장(05)(06)","80.07kcal","농후 발효유(02)","96kcal","깍두기(09)","15.2kcal","","","1790.88kcal"
"2023-01-18","배추김치","0kcal","","","컵과일(배)","50kcal","","","1790.88kcal"
"2023-01-18","두유(300ML)","210kcal","","","","","","","1790.88kcal"
"2023-01-19","밥","359.37kcal","잡곡밥","356.06kcal","새우버거(09)","15.35kcal","","","2996.45kcal"
"2023-01-19","두부된장찌개(05)","69.47kcal","닭곰탕(15)","207.88kcal","웨지감자구이(02)(05)(06)","274.25kcal","","","2996.45kcal"
"2023-01-19","제육고추장불고기","604.09kcal","호박볶음(09)","32.74kcal","옥수수스프","4.03kcal","","","2996.45kcal"
"2023-01-19","어떡햄볶음(05)(06)(10)(15)(16)(18)","162.21kcal","조미김","0kcal","시리얼","218.06kcal","","","2996.45kcal"
"2023-01-19","배추김치","0kcal","갑오징어야채무침(05)(06)(17)","81.49kcal","아보카도샐러드","48.88kcal","","","2996.45kcal"
"2023-01-19","","","깍두기(09)","15.2kcal","스트링치즈","371kcal","","","2996.45kcal"
"2023-01-19","","","감귤","54.366kcal","우유(백색우유(200ML,연간))(02)","122kcal","","","2996.45kcal"
"2023-01-20","밥","359.37kcal","베이컨크림스파게티(02)","1478.15kcal","고추참치김치덮밥","541.37kcal","","","3800.69kcal"
"2023-01-20","쇠고기감자국(05)","28.61kcal","뿌링클치즈볼(02)(06)","253.51kcal","유부장국(05)(06)","35.8kcal","","","3800.69kcal"
"2023-01-20","멸치볶음","48.14kcal","모닝빵(1)(01)(02)(05)(06)","115.2kcal","치즈떡갈비","450.25kcal","","","3800.69kcal"
"2023-01-20","베이컨양배추볶음(18)","115kcal","열대과일샐러드","19.06kcal","무말랭이무침","55.32kcal","","","3800.69kcal"
"2023-01-20","배추김치","0kcal","가공우유(딸기)(02)","116kcal","딸기(1월~2월)","36kcal","","","3800.69kcal"
"2023-01-20","코카콜라음료,미닛메이도포도,180ml","84.51kcal","모듬피클","64.4kcal","","","","","3800.69kcal"
"2023-01-21","주먹밥(브런치)(15)","390kcal","밥","359.37kcal","밥","359.37kcal","","","3420.48kcal"
"2023-01-21","반미샌드위치(05)(06)(10)","458.76kcal","사골우거지국(05)","59.84kcal","닭볶음탕(15)","283.73kcal","","","3420.48kcal"
"2023-01-21","소시지구이","0.15kcal","돼지불고기(05)(06)(10)","387.93kcal","마파두부(05)(06)","229.55kcal","","","3420.48kcal"
"2023-01-21","스크램블에그","115.5kcal","콩나물무침(05)(06)","23.66kcal","조미김","0kcal","","","3420.48kcal"
"2023-01-21","양송이스프","7.4kcal","배추김치","0kcal","양파간장절임(05)(06)","71.66kcal","","","3420.48kcal"
"2023-01-21","시리얼","218.06kcal","유산균 발효유(3사교)","84.5kcal","배추김치","0kcal","","","3420.48kcal"
"2023-01-21","우유(백색우유(200ML,연간))(02)","122kcal","","","건빵(개선품)(01)(02)(03)","249kcal","","","3420.48kcal"
"2023-01-22","꼬꼬떡만둣국(01)(05)(15)","498.4kcal","밥","359.37kcal","밥","359.37kcal","","","2641.61kcal"
"2023-01-22","감자매운조림(05)(06)","51kcal","조갯살미역국(05)","5.72kcal","돼지고기감자찌개(05)(10)","99.78kcal","","","2641.61kcal"
"2023-01-22","모듬전(05)(06)","14.19kcal","생선묵꽈리고추볶음(05)(06)(18)","121.35kcal","오징어삼겹볶음(05)(06)(10)(17)","415.55kcal","","","2641.61kcal"
"2023-01-22","배추김치","0kcal","소불고기","469kcal","간장깻잎지","0kcal","","","2641.61kcal"
"2023-01-22","우유(백색우유(200ML,연간))(02)","122kcal","배추김치","0kcal","깍두기(09)","15.2kcal","","","2641.61kcal"
"2023-01-22","","","곶감","109.915kcal","망고스틱(브런치)","0.76kcal","","","2641.61kcal"
"2023-01-23","밥","359.37kcal","밥","359.37kcal","수제카레밥","407.31kcal","","","2940.62kcal"
"2023-01-23","얼큰황태채국(01)(05)","72.24kcal","호박된장찌개(05)","55.69kcal","김계란국(01)(05)","78.29kcal","","","2940.62kcal"
"2023-01-23","계란찜(01)(09)","87.15kcal","훈제삼겹통마늘볶음(01)(02)(05)(10)(18)","588.91kcal","매콤닭봉조림","152.04kcal","","","2940.62kcal"
"2023-02-22","황태채콩나물국(01)(05)","79.42kcal","호박된장찌개(05)","55.69kcal","돼지고기무찌개(05)","93.7kcal","","","2872.27kcal"
"2023-02-22","미트볼데리야끼조림(05)(06)","17.89kcal","훈제삼겹통마늘볶음(01)(02)(05)(10)(18)","588.91kcal","치킨너겟(06)(15)","298.41kcal","","","2872.27kcal"
"2023-02-22","부추겉절이(05)(06)","19.99kcal","양배추쌈","13.28kcal","불고기브리또(05)(06)(10)","309.86kcal","","","2872.27kcal"
"2023-02-22","총각김치","0kcal","깍두기(09)","15.2kcal","가공우유(바나나)(02)","167kcal","","","2872.27kcal"
"2023-02-22","우유(백색우유(200ML,연간))(02)","122kcal","웅진식품,자연은납작복숭아,340ml","","배추김치","0kcal","","","2872.27kcal"
"2023-02-23","밥","359.37kcal","찰보리밥","378.8kcal","밥","359.37kcal","","","3675.74kcal"
"2023-02-23","배추된장국(05)","12.09kcal","미역국(05)","7.09kcal","돼지갈비김치찌개(05)","323.16kcal","","","3675.74kcal"
"2023-02-23","비엔나소시지야채볶음(05)(06)(10)(15)(16)","223.78kcal","마늘보쌈(10)","1054.79kcal","멘츠카츠(10)","357.01kcal","","","3675.74kcal"
"2023-02-23","실곤약야채무침(05)(06)","39.97kcal","오이달래무침(05)(06)","29.42kcal","치커리유자청무침","34.6kcal","","","3675.74kcal"
"2023-02-23","배추김치","0kcal","모듬쌈","6.66kcal","파김치","0kcal","","","3675.74kcal"
"2023-02-23","우유(백색우유(200ML,연간))(02)","122kcal","갓김치","0kcal","즉석쌀국수(멸치맛)(06)","325kcal","","","3675.74kcal"
"2023-02-23","","","사과(후지)","42.63kcal","","","","","3675.74kcal"
"2023-02-24","밥","359.37kcal","베이컨김치볶음밥(05)(06)(18)","506.64kcal","밥","359.37kcal","","","2691.79kcal"
"2023-02-24","오징어무국(05)(17)","65.95kcal","팽이버섯계란국(01)(05)","63.13kcal","쇠고기감자국(05)","28.61kcal","","","2691.79kcal"
"2023-02-24","돈육김치볶음(10)","191.71kcal","옛날통닭(06)(15)","463.91kcal","순대곱창볶음(05)(06)(10)","224.37kcal","","","2691.79kcal"
"2023-02-24","햄계란찜(01)(09)(10)","137.9kcal","치킨무","7.5kcal","도토리묵무침(05)(06)","33.62kcal","","","2691.79kcal"
"2023-02-24","배추김치","0kcal","파김치","0kcal","배추김치","0kcal","","","2691.79kcal"
"2023-02-24","우유(백색우유(200ML,연간))(02)","122kcal","남양유업,과수원청포도,190ml","84.51kcal","딸기(1월~2월)","43.2kcal","","","2691.79kcal"
"2023-02-25","잉글리쉬머핀","0kcal","","","라면(즉석 컵)(06)","365kcal","","","1583.32kcal"
"2023-02-25","치킨데리야끼볶음밥(브런치)(01)(05)(06)(15)(18)","720kcal","","","","","","","1583.32kcal"
"2023-02-25","포테이토크림스프","26.9kcal","","","","","","","1583.32kcal"
"2023-02-25","시리얼","218.06kcal","","","","","","","1583.32kcal"
"2023-02-25","리코타치즈샐러드(02)","49.76kcal","","","","","","","1583.32kcal"
"2023-02-25","바나나(육사)","81.6kcal","","","","","","","1583.32kcal"
"2023-02-25","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","1583.32kcal"
"2023-02-26","밥","359.37kcal","밥","359.37kcal","밥","359.37kcal","","","3917.39kcal"
"2023-02-26","두부맑은국(05)(09)","39.38kcal","차돌육개장(완)(16)","1075kcal","쇠고기미역국(05)","4.72kcal","","","3917.39kcal"
"2023-02-26","치즈떡갈비","450.25kcal","감자조림(05)(06)","48.1kcal","눈꽃치즈닭갈비(02)(05)(06)(15)","464.7kcal","","","3917.39kcal"
"2023-02-26","무오이장아찌","3.32kcal","돈육표고장조림(05)(06)(10)","291.61kcal","단호박샐러드(01)(02)(05)","124.6kcal","","","3917.39kcal"
"2023-02-26","배추김치","0kcal","깍두기(09)","15.2kcal","배추김치","0kcal","","","3917.39kcal"
"2023-02-26","우유(백색우유(200ML,연간))(02)","122kcal","","","바나나맛우유(02)","200.4kcal","","","3917.39kcal"
"2023-02-27","밥","359.37kcal","현미밥","381.15kcal","흑미밥","378kcal","","","3521.77kcal"
"2023-02-27","물만둣국(01)(05)(06)(10)","421.59kcal","갈낙탕(05)","651.96kcal","얼큰김치수제비(05)(06)","116.38kcal","","","3521.77kcal"
"2023-02-27","마파두부(05)(06)","229.55kcal","간장깻잎지","0kcal","큐브스테이크(10)","257.41kcal","","","3521.77kcal"
"2023-02-27","오믈렛(01)(02)(05)(06)","120kcal","골뱅이무침(05)(06)","94.3kcal","닭순살샐러드(15)","183.71kcal","","","3521.77kcal"
"2023-02-27","깍두기(09)","15.2kcal","백김치","0kcal","깍두기(09)","15.2kcal","","","3521.77kcal"
"2023-02-27","우유(백색우유(200ML,연간))(02)","122kcal","농후 발효유(02)","96kcal","한라봉","79.95kcal","","","3521.77kcal"
"2023-02-28","밥","359.37kcal","크림카레스파게티(02)","1189.08kcal","잡곡밥","356.06kcal","","","3263.79kcal"
"2023-02-28","쇠고기육개장(05)","33.91kcal","치킨가라아게","49.61kcal","시래기감자탕(05)","379.15kcal","","","3263.79kcal"
"2023-02-28","볼어묵볶음(05)(06)","117.28kcal","모듬피클","64.4kcal","누룽지탕","108.9kcal","","","3263.79kcal"
"2023-02-28","조미김","0kcal","모닝빵(1)(01)(02)(05)(06)","115.2kcal","김치메밀전병","230.06kcal","","","3263.79kcal"
"2023-02-28","메추리알장조림(01)(05)(06)","95.91kcal","배추김치(2)","0kcal","콩나물무침(05)(06)","23.66kcal","","","3263.79kcal"
"2023-02-28","배추김치","0kcal","","","가공우유(초코)(02)","126kcal","","","3263.79kcal"
"2023-02-28","","","","","깍두기(09)","15.2kcal","","","3263.79kcal"
"2023-01-01","떡만둣국(01)(05)","300.48kcal","밥","359.37kcal","밥","359.37kcal","","","2152.97kcal"
"2023-01-01","베이컨감자채볶음","98.47kcal","두부고추장찌개(05)","81.19kcal","쇠고기육개장(05)","33.91kcal","","","2152.97kcal"
"2023-01-01","오이지무침","10.45kcal","돈육굴소스양배추볶음(05)(06)(18)","317.68kcal","생선묵조림(05)(06)","107.55kcal","","","2152.97kcal"
"2023-01-01","깍두기(09)","15.2kcal","무말랭이무침","55.32kcal","오이양파무침","21.98kcal","","","2152.97kcal"
"2023-01-01","우유(백색우유(200ML,연간))(02)","122kcal","배추김치","0kcal","배추김치","0kcal","","","2152.97kcal"
"2023-01-01","","","","","아이스크림 콘,완제품(02)","270kcal","","","2152.97kcal"
"2023-01-02","밥","359.37kcal","현미밥","381.15kcal","찰보리밥","378.8kcal","","","3636.81kcal"
"2023-01-02","비엔나소시지김치찌개(05)(06)(10)(15)(16)","117.29kcal","쇠고기미역국(05)","4.72kcal","닭볶음탕(15)","283.73kcal","","","3636.81kcal"
"2023-01-02","돈육표고장조림(05)(06)(10)","377.01kcal","콩나물매운잡채(05)(06)","222.37kcal","너비아니구이(05)(06)(10)(16)","277.45kcal","","","3636.81kcal"
"2023-01-02","연두부양념장(05)(06)","80.07kcal","무청시래기갈비찜(05)(06)(10)","796.09kcal","사과무생채","21.16kcal","","","3636.81kcal"
"2023-01-02","깍두기(09)","15.2kcal","배추김치","0kcal","배추김치","0kcal","","","3636.81kcal"
"2023-01-02","우유(백색우유(200ML,연간))(02)","122kcal","바나나맛우유(02)","200.4kcal","","","","","3636.81kcal"
"2023-01-03","전복죽","450kcal","잡채볶음밥","1155.5kcal","잡곡밥","356.06kcal","","","4092.78kcal"
"2023-01-03","쇠고기장조림(01)(05)(06)","63.1kcal","짬뽕찌개(05)(09)(16)(17)","70.04kcal","도가니탕(완)(06)","912.3kcal","","","4092.78kcal"
"2023-01-03","오징어젓무침(17)","59.07kcal","북경식탕수육(05)(06)","253.02kcal","닭순살양배추볶음(05)(06)(15)","252.43kcal","","","4092.78kcal"
"2023-01-03","시리얼","218.06kcal","꼬들단무지(13)","7.2kcal","오이고추장무침","23.63kcal","","","4092.78kcal"
"2023-01-03","배추김치","0kcal","배추김치","0kcal","총각김치","0kcal","","","4092.78kcal"
"2023-01-03","우유(백색우유(200ML,연간))(02)","122kcal","감귤","54.366kcal","농후 발효유(02)","96kcal","","","4092.78kcal"
"2023-01-04","밥","359.37kcal","전투식량","0kcal","흑미밥","378kcal","","","2150.07kcal"
"2023-01-04","근대된장국(05)","16.81kcal","황태채콩나물국(01)(05)","79.42kcal","부대찌개(05)(06)(10)(15)","345.25kcal","","","2150.07kcal"
"2023-01-04","마파두부(05)(06)","229.55kcal","배추김치","0kcal","생선가스(01)(06)","188.51kcal","","","2150.07kcal"
"2023-01-04","오징어채볶음(01)(05)(06)(17)","53.48kcal","매일유업,썬업사과,200ml","46kcal","쫄면야채무침(06)","234.88kcal","","","2150.07kcal"
"2023-01-04","배추김치","0kcal","","","깍두기(09)","15.2kcal","","","2150.07kcal"
"2023-01-04","우유(백색우유(200ML,연간))(02)","122kcal","","","바나나(육사)","81.6kcal","","","2150.07kcal"
"2023-01-05","밥","359.37kcal","찰보리비빔밥(05)","420.63kcal","수제치킨버거(05)","25.34kcal","","","3233.15kcal"
"2023-01-05","쇠고기호박찌개(05)(09)","44.37kcal","강된장찌개(05)","57.33kcal","바베큐폭립(10)(12)","900.25kcal","","","3233.15kcal"
"2023-01-05","새송이버섯햄볶음(10)","65.93kcal","쇠고기볶음고추장","33.15kcal","포테이토크림스프","26.9kcal","","","3233.15kcal"
